"Class","mean_posprob","prop_over80","Solution"
1,1,1,1
1,0.934991287399421,0.868503937007874,2
2,0.96090101298674,0.919458128078818,2
1,0.927259280582933,0.851419031719533,3
2,0.94752130731649,0.886625332152347,3
3,0.950371398503436,0.899836690255852,3
1,0.926325017999263,0.855590062111801,4
2,0.944641015430667,0.888446215139442,4
3,0.929832833638151,0.849806542384805,4
4,0.895439219712297,0.788525367472736,4
1,0.896368510461565,0.800196367206677,5
2,0.93758803074389,0.863583815028902,5
3,0.925188415903419,0.849367573783059,5
4,0.907162976027402,0.801295896328294,5
5,0.930733319976919,0.862619808306709,5
1,0.89908243703255,0.806433408577878,6
2,0.926518060472477,0.845789971617786,6
3,0.942689074300021,0.875598086124402,6
4,0.934585741646723,0.868348443042964,6
5,0.936714651157122,0.878504672897196,6
6,0.931904978056734,0.85427135678392,6
